customer_id,full_name,gender,age,marital_status,dependents,state,geo_zone,area_type,occupation,occupation_category,monthly_income_ngn,employer_hmo,smoker,pre_existing_condition,owns_vehicle,vehicle_type,vehicle_year,vehicle_value_ngn,vehicle_use,home_status,property_value_ngn,runs_shop,foreign_trips_per_year,risk_appetite,phone,email,MTP,MCP,HIN,HFM,TRV,HCN,SHP,data_source
NG-SYN-00001,Adaeze Okafor,Male,52,Married,1,Kano,North West,Urban,Medical Doctor,Private salaried,582000.0,True,False,False,False,,,,,Owner,50460000.0,False,1,Medium,+2348083099943,user1@example.com,0,0,0,0,1,1,0,synthetic
NG-SYN-00002,Terkura Bello,Male,56,Married,5,Cross River,South South,Rural,Medical Doctor,Private salaried,1822000.0,True,False,True,True,Saloon Car,2022.0,10200000.0,Private,Owner,169620000.0,False,1,High,+2348036660536,user2@example.com,0,1,0,0,1,1,0,synthetic
NG-SYN-00003,Nneka Yusuf,Male,41,Married,1,Katsina,North West,Rural,Business Owner,Self-employed,548000.0,False,True,False,False,,,,,Owner,80030000.0,True,0,High,+2348093993003,user3@example.com,0,0,0,1,0,0,0,synthetic
NG-SYN-00004,Terkura Usman,Male,26,Married,3,Benue,North Central,Urban,Trader,Self-employed,311000.0,False,False,False,True,Saloon Car,2022.0,9970000.0,Private,Family house,,True,0,Medium,+2348042967885,user4@example.com,0,1,0,0,0,0,1,synthetic
NG-SYN-00005,Uche Ojo,Female,56,Married,4,Lagos,South West,Urban,Artisan,Self-employed,111000.0,False,False,False,False,,,,,Renter,,False,0,High,+2348080708891,user5@example.com,0,0,0,0,0,0,0,synthetic
NG-SYN-00006,Chinedu Yusuf,Female,28,Married,1,Gombe,North East,Urban,Trader,Self-employed,202000.0,False,False,False,False,,,,,Renter,,True,0,Medium,+2348037727818,user6@example.com,0,0,0,0,0,0,1,synthetic
NG-SYN-00007,Musa Mohammed,Male,41,Married,3,Kano,North West,Rural,Farmer,Self-employed,144000.0,False,False,False,False,,,,,Renter,,False,0,Medium,+2348034092232,user7@example.com,0,0,0,0,0,1,0,synthetic
NG-SYN-00008,Folake Chukwu,Female,35,Married,0,Kano,North West,Rural,Unemployed,Dependent,5000.0,False,False,False,False,,,,,Renter,,False,0,Medium,+2348076173251,user8@example.com,0,0,0,0,0,0,0,synthetic
NG-SYN-00009,Ekaette Adebayo,Female,34,Married,3,Lagos,South West,Urban,Business Owner,Self-employed,1143000.0,False,False,False,False,,,,,Owner,67860000.0,True,0,Medium,+2348092454036,user9@example.com,0,0,1,0,0,0,0,synthetic
NG-SYN-00010,Kelechi Eze,Female,46,Married,2,Cross River,South South,Urban,Artisan,Self-employed,138000.0,False,False,False,False,,,,,Renter,,False,0,Low,+2348095727111,user10@example.com,0,0,0,0,0,0,0,synthetic
NG-SYN-00011,Ngozi Abubakar,Male,40,Married,1,Delta,South South,Urban,Medical Doctor,Private salaried,1441000.0,True,True,False,True,Saloon Car,2008.0,2730000.0,Private,Owner,132110000.0,False,1,Low,+2348082834411,user11@example.com,1,0,0,0,1,0,0,synthetic
NG-SYN-00012,Zainab Ekwueme,Male,43,Married,1,Bauchi,North East,Urban,Civil Servant,Public sector,448000.0,True,False,False,False,,,,,Renter,,False,0,Medium,+2348051302200,user12@example.com,0,0,0,0,0,0,0,synthetic
NG-SYN-00013,Bola Iheanacho,Female,30,Married,6,FCT,North Central,Urban,Trader,Self-employed,184000.0,False,False,False,True,SUV,2021.0,15100000.0,Private,Renter,,True,0,Medium,+2348067988121,user13@example.com,0,1,0,0,0,0,0,synthetic
NG-SYN-00014,Nneka Amadi,Female,36,Married,4,Kaduna,North West,Rural,Trader,Self-employed,37000.0,False,False,False,False,,,,,Renter,,True,0,Low,+2348071017556,user14@example.com,0,0,0,0,0,0,0,synthetic
NG-SYN-00015,Terkura Olawale,Male,75,Married,4,Cross River,South South,Urban,Retired,Retired,68000.0,False,False,True,False,,,,,Owner,7110000.0,False,0,Low,+2348027375365,user15@example.com,0,0,0,1,0,0,0,synthetic
